0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
"(185.98361, 255.33424)","(199.0621, 257.06512)","(211.93787, 258.88757)","(225.30211, 260.8278)","(238.0471, 262.44495)","(251.32112, 264.19113)","(263.93756, 265.82367)","(277.21017, 267.4266)","(289.7167, 269.32452)","(183.60417, 268.46786)","(196.75133, 270.04303)","(210.08305, 271.65692)","(223.33095, 273.50418)","(236.30656, 275.05783)","(249.50627, 276.86057)","(262.3463, 278.86392)","(275.50507, 280.47092)","(288.29028, 282.06607)","(181.45612, 281.2323)","(194.626, 282.87787)","(207.89014, 284.67996)","(221.0085, 286.65448)","(233.89561, 288.1843)","(247.44759, 289.8412)","(260.40274, 291.54437)","(273.57608, 293.13394)","(286.5793, 294.89896)","(178.94438, 294.63147)","(192.10973, 296.19675)","(205.64519, 297.79102)","(218.89854, 299.5839)","(232.19884, 301.0378)","(245.59622, 302.8427)","(258.5278, 304.77774)","(271.6318, 306.38046)","(284.8339, 308.03354)","(176.39893, 307.6902)","(190.0887, 309.26962)","(203.64032, 311.12424)","(216.75804, 312.74728)","(229.92258, 314.5272)","(243.43706, 316.25223)","(256.5954, 317.77914)","(269.90576, 319.37866)","(283.29272, 321.0969)","(174.2677, 320.8919)","(187.97784, 322.7443)","(201.19373, 324.6455)","(214.4658, 326.1613)","(228.03183, 327.8519)","(241.62836, 329.47943)","(254.76276, 330.86276)","(267.80664, 332.7646)","(281.32922, 334.5889)","(172.07285, 334.64755)","(185.34409, 336.56198)","(198.8366, 338.05148)","(212.45972, 339.69293)","(225.9317, 341.32623)","(239.38484, 342.8262)","(252.78525, 344.6163)","(266.17078, 346.4669)","(279.53818, 347.9511)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(188.50336, 254.28859)","(201.61862, 256.00037)","(214.82784, 257.61743)","(227.99135, 259.2137)","(240.9269, 260.97116)","(253.95947, 262.65988)","(266.96304, 264.2749)","(279.88977, 265.71893)","(292.7736, 267.5034)","(186.67285, 266.95377)","(199.6509, 268.7468)","(212.82109, 270.5306)","(225.98372, 272.1499)","(239.08856, 273.56796)","(252.16556, 275.35953)","(265.0837, 277.1004)","(278.1214, 278.60114)","(291.15082, 280.2634)","(184.32774, 280.10443)","(197.61137, 281.6256)","(210.93588, 283.37775)","(224.28981, 284.8726)","(237.33499, 286.56235)","(250.51984, 288.32553)","(263.5544, 289.79327)","(276.68262, 291.35413)","(289.65073, 293.04395)","(182.41861, 292.95807)","(195.58974, 294.77478)","(208.92451, 296.49942)","(222.20618, 298.08133)","(235.44948, 299.5277)","(248.69556, 301.25595)","(261.8787, 302.814)","(275.05862, 304.41858)","(288.23535, 306.05096)","(180.09937, 306.39767)","(193.39595, 308.14496)","(206.92966, 309.59625)","(220.48015, 311.04932)","(233.58061, 312.8338)","(246.79042, 314.53445)","(260.04233, 316.07474)","(273.36606, 317.4822)","(286.52466, 319.16614)","(177.803, 319.75412)","(191.4469, 321.35947)","(204.9484, 322.82416)","(218.24597, 324.51074)","(231.55283, 326.2864)","(245.17305, 327.6438)","(258.54037, 329.15945)","(271.64615, 330.8213)","(284.77243, 332.54663)","(175.71579, 333.29483)","(189.30305, 334.76346)","(202.7548, 336.44424)","(216.32068, 338.13422)","(229.76256, 339.5763)","(243.20312, 341.05753)","(256.59732, 342.72125)","(269.98282, 344.40897)","(283.34937, 345.8332)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
